model,tokenizer,prompt_template,data_hash,eval_cohort,layers,batch_size,date,source_run,method,seed,C,side,effect,off_axis_perturbation,admissible
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260811,all100_20260811T052702_vjp_delta_c0.17677669529663687,vjp_delta,0,0.17677669529663687,+C,2.373,0.27,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260811,all100_20260811T052702_vjp_delta_c0.17677669529663687,vjp_delta,0,0.17677669529663687,-C,-1.8977499999999998,0.59125,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260811,all100_20260811T061332_mean_diff_c0.35355339059327373,mean_diff,0,0.35355339059327373,+C,1.7442499999999996,0.27475,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260811,all100_20260811T061332_mean_diff_c0.35355339059327373,mean_diff,0,0.35355339059327373,-C,-1.0985,0.33775,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260811,all100_20260811T055914_mean_diff_c0.5,mean_diff,0,0.5,+C,2.56125,0.3324999999999999,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260811,all100_20260811T055914_mean_diff_c0.5,mean_diff,0,0.5,-C,-1.0765,0.46525000000000005,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260811,all100_20260811T054431_mean_diff_c0.7071067811865476,mean_diff,0,0.7071067811865476,+C,3.7924999999999995,0.50575,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260811,all100_20260811T054431_mean_diff_c0.7071067811865476,mean_diff,0,0.7071067811865476,-C,-1.1127500000000001,0.87875,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260815,all100_20260815T162505_pca_c0.5,pca,0,0.5,+C,1.4807499999999996,0.27925,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260815,all100_20260815T162505_pca_c0.5,pca,0,0.5,-C,-0.48925,0.48349999999999993,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260815,all100_20260815T164144_pca_c0.7071067811865476,pca,0,0.7071067811865476,+C,2.241,0.4149999999999999,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260815,all100_20260815T164144_pca_c0.7071067811865476,pca,0,0.7071067811865476,-C,-0.64575,0.8069999999999999,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260815,all100_20260815T165537_pca_c1.0,pca,0,1.0,+C,3.9849999999999994,0.7875,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260815,all100_20260815T165537_pca_c1.0,pca,0,1.0,-C,-1.5515,1.46225,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260815,all100_20260815T170813_random_s0_c1.0,random,0,1.0,+C,1.06425,0.274,True
Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,Qwen3 chat,28aa4597841794afdfa9fc26590832d03d016aa832eb3fc922ef64f79bf46ecf,sycophancy_all100-v10,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",4,20260815,all100_20260815T170813_random_s0_c1.0,random,0,1.0,-C,0.5865,0.33925,True
