method,seed,side,C,source_kind,source_run,raw_steered_source,effect,off_axis_perturbation,steered_off_axis,health_clean,accepted
J_word,0,+C,0.19842513149602492,continuation_certificate,outputs/run_20260828T093558_J_word_s0_+c0p19842513149602492/J_word.json,outputs/run_20260828T093558_J_word_s0_+c0p19842513149602492/moral_demos.jsonl,0.96,0.0435,0.4925,True,True
J_word,0,+C,0.22272467953508485,continuation_certificate,outputs/run_20260828T093610_J_word_s0_+c0p22272467953508485/J_word.json,outputs/run_20260828T093610_J_word_s0_+c0p22272467953508485/moral_demos.jsonl,0.87425,0.014500000000000002,0.46625,True,True
J_word,0,+C,0.25,continuation_certificate,outputs/run_20260828T093621_J_word_s0_+c0p25/J_word.json,outputs/run_20260828T093621_J_word_s0_+c0p25/moral_demos.jsonl,1.37775,0.10625,0.5455,True,True
J_word,0,+C,0.28061551207734325,continuation_certificate,outputs/run_20260828T093632_J_word_s0_+c0p28061551207734325/J_word.json,outputs/run_20260828T093632_J_word_s0_+c0p28061551207734325/moral_demos.jsonl,1.49125,0.156,0.58425,True,True
J_word,0,+C,0.3149802624737183,continuation_certificate,outputs/run_20260828T093657_J_word_s0_+c0p3149802624737183/J_word.json,outputs/run_20260828T093657_J_word_s0_+c0p3149802624737183/moral_demos.jsonl,1.68525,0.277,0.7645,True,True
J_word,0,+C,0.3535533905932738,continuation_certificate,outputs/run_20260828T093723_J_word_s0_+c0p3535533905932738/J_word.json,outputs/run_20260828T093723_J_word_s0_+c0p3535533905932738/moral_demos.jsonl,2.075,0.626,1.105,True,True
J_word,0,+C,0.3968502629920499,continuation_certificate,outputs/run_20260828T093109_J_word_s0_+c0p3968502629920499/J_word.json,outputs/run_20260828T093109_J_word_s0_+c0p3968502629920499/moral_demos.jsonl,2.44825,1.17025,1.64025,True,False
J_word,0,-C,0.15749013123685915,historical_bracket,outputs/run_20260828T020211_J_word_s0_c0p15749013123685915/J_word.json,outputs/run_20260828T020211_J_word_s0_c0p15749013123685915/moral_demos.jsonl,0.29825,0.03675,0.76,True,True
J_word,0,-C,0.1767766952966369,historical_bracket,outputs/run_20260828T020301_J_word_s0_c0p1767766952966369/J_word.json,outputs/run_20260828T020301_J_word_s0_c0p1767766952966369/moral_demos.jsonl,0.244,0.012250000000000006,0.81825,True,True
J_word,0,-C,0.19842513149602492,historical_bracket,outputs/run_20260828T020353_J_word_s0_c0p19842513149602492/J_word.json,outputs/run_20260828T020353_J_word_s0_c0p19842513149602492/moral_demos.jsonl,-0.07975,0.09699999999999999,0.87175,True,True
