method,seed,side,C,source_kind,source_run,raw_steered_source,effect,off_axis_perturbation,steered_off_axis,health_clean,accepted,selected_reason
J_word,0,+C,0.3535533905932738,continuation_certificate,outputs/run_20260828T093723_J_word_s0_+c0p3535533905932738/J_word.json,outputs/run_20260828T093723_J_word_s0_+c0p3535533905932738/moral_demos.jsonl,2.075,0.626,1.105,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
J_word,0,-C,0.28061551207734325,historical_bracket,outputs/run_20260828T020655_J_word_s0_c0p28061551207734325/J_word.json,outputs/run_20260828T020655_J_word_s0_c0p28061551207734325/moral_demos.jsonl,-0.33999999999999997,0.46275,1.375,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
mean_diff,0,+C,1.0,continuation_certificate,outputs/run_20260828T095537_mean_diff_s0_+c1p0/mean_diff.json,outputs/run_20260828T095537_mean_diff_s0_+c1p0/moral_demos.jsonl,4.36475,0.8365,1.40025,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
mean_diff,0,-C,0.8908987181403393,historical_bracket,outputs/run_20260821T223843_mean_diff_s0_c0p8908987181403393/mean_diff.json,outputs/run_20260821T223843_mean_diff_s0_c0p8908987181403393/moral_demos.jsonl,1.44625,0.43024999999999997,1.46975,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
mean_diff,1,+C,1.0,continuation_certificate,outputs/run_20260828T095538_mean_diff_s1_+c1p0/mean_diff.json,outputs/run_20260828T095538_mean_diff_s1_+c1p0/moral_demos.jsonl,4.3545,0.82825,1.40125,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
mean_diff,1,-C,0.8908987181403393,historical_bracket,outputs/run_20260821T224458_mean_diff_s1_c0p8908987181403393/mean_diff.json,outputs/run_20260821T224458_mean_diff_s1_c0p8908987181403393/moral_demos.jsonl,1.37625,0.45725,1.47375,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
mean_diff,2,+C,1.0,continuation_certificate,outputs/run_20260828T095334_mean_diff_s2_+c1p0/mean_diff.json,outputs/run_20260828T095334_mean_diff_s2_+c1p0/moral_demos.jsonl,4.369,0.82575,1.3995,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
mean_diff,2,-C,0.8908987181403393,historical_bracket,outputs/run_20260821T224444_mean_diff_s2_c0p8908987181403393/mean_diff.json,outputs/run_20260821T224444_mean_diff_s2_c0p8908987181403393/moral_demos.jsonl,1.3575000000000002,0.4255,1.4795,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
pca,0,+C,1.0,historical_bracket,outputs/run_20260822T023222_pca_s0_c1p0/pca.json,outputs/run_20260822T023222_pca_s0_c1p0/moral_demos.jsonl,3.985,0.7165,1.26475,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
pca,0,-C,0.7937005259840998,historical_bracket,outputs/run_20260821T224312_pca_s0_c0p7937005259840998/pca.json,outputs/run_20260821T224312_pca_s0_c0p7937005259840998/moral_demos.jsonl,1.28975,0.45425,1.46175,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
pca,1,+C,1.122462048309373,historical_bracket,outputs/run_20260821T224902_pca_s1_c1p122462048309373/pca.json,outputs/run_20260821T224902_pca_s1_c1p122462048309373/moral_demos.jsonl,4.13075,0.92675,1.47225,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
pca,1,-C,0.7937005259840998,historical_bracket,outputs/run_20260821T224537_pca_s1_c0p7937005259840998/pca.json,outputs/run_20260821T224537_pca_s1_c0p7937005259840998/moral_demos.jsonl,1.21325,0.45375,1.45375,True,True,greatest C with health_clean and mean_steered_off_axis <= 1.5
