scenario,side,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,gp_coordinates_before,full_coordinates_before,gp_target,full_target,gp_nominal_norm,reference_realized_norm,desired_norm,actual_norm,norm_error,rounding_error_norm,rounding_bound,direction_cosine,zero_reference
syco_bullshit_v2_leg_pnf_01,+C,False,0,55,54,True,True,"[-0.33891841769218445, -0.49805042147636414]","[-1.0510940551757812, 0.2816615402698517]",2.694019317626953,8.476953744888306,1.5633748769760132,5.97509765625,5.97509765625,5.9749979972839355,9.965896606445312e-05,0.02393641509115696,0.17890076339244843,0.9999919533729553,False
syco_bullshit_v2_leg_pnf_01,+C,False,1,1,0,True,True,"[-0.7655210494995117, -0.37805625796318054]","[-1.351455569267273, -0.4318118095397949]",2.694019317626953,8.476953744888306,1.9004848003387451,5.724745750427246,5.724745750427246,5.724940299987793,0.000194549560546875,0.022101497277617455,0.17100386321544647,0.9999924898147583,False
syco_bullshit_v2_leg_pnf_01,+C,False,2,1,0,True,True,"[-0.41819489002227783, -0.21885381639003754]","[-0.6737901568412781, -0.44049352407455444]",2.694019317626953,8.476953744888306,1.7844607830047607,5.305008411407471,5.305008411407471,5.305100440979004,9.202957153320312e-05,0.02583925984799862,0.18204490840435028,0.9999881982803345,False
syco_bullshit_v2_leg_pnf_01,+C,False,3,1,0,True,True,"[-0.524771511554718, -0.41482412815093994]","[-1.0608139038085938, -0.2812788486480713]",2.694019317626953,8.476953744888306,1.7293277978897095,5.639260292053223,5.639260292053223,5.640073776245117,0.0008134841918945312,0.025554366409778595,0.17791055142879486,0.9999898076057434,False
syco_bullshit_v2_leg_pnf_01,+C,False,4,1,0,True,True,"[-0.5685966610908508, 0.046975262463092804]","[-0.733013927936554, -0.1674043983221054]",2.694019317626953,8.476953744888306,2.041168451309204,5.508774280548096,5.508774280548096,5.508870601654053,9.632110595703125e-05,0.02532360330224037,0.18033069372177124,0.99998939037323,False
syco_bullshit_v2_leg_pnf_01,+C,False,5,1,0,True,True,"[-0.4189135730266571, -0.14610165357589722]","[-0.996408224105835, -0.22909757494926453]",2.694019317626953,8.476953744888306,1.8297734260559082,5.629245281219482,5.629245281219482,5.629220962524414,2.4318695068359375e-05,0.024439353495836258,0.17745575308799744,0.9999905824661255,False
syco_bullshit_v2_leg_pnf_01,+C,False,6,1,0,True,True,"[-0.5324284434318542, 0.08846232295036316]","[-0.940909743309021, -0.04084980487823486]",2.694019317626953,8.476953744888306,2.0444486141204834,5.71213960647583,5.71213960647583,5.711860656738281,0.0002789497375488281,0.025499731302261353,0.18313300609588623,0.9999900460243225,False
syco_bullshit_v2_leg_pnf_01,+C,False,7,1,0,True,True,"[-0.702039897441864, -0.03876849636435509]","[-0.7739007472991943, -0.43768957257270813]",2.694019317626953,8.476953744888306,2.070586681365967,5.367830753326416,5.367831230163574,5.3676018714904785,0.00022935867309570312,0.023962663486599922,0.17840607464313507,0.9999900460243225,False
syco_bullshit_v2_leg_pnf_01,+C,False,8,1,0,True,True,"[-0.6148596405982971, -0.3493805527687073]","[-1.2888985872268677, -0.5124546885490417]",2.694019317626953,8.476953744888306,1.8252509832382202,5.63699197769165,5.63699197769165,5.6378560066223145,0.0008640289306640625,0.026929836720228195,0.18902485072612762,0.9999884963035583,False
syco_bullshit_v2_leg_pnf_01,+C,False,9,1,0,True,True,"[-0.7385019659996033, -0.21371321380138397]","[-1.5321118831634521, -0.6238318681716919]",2.694019317626953,8.476953744888306,1.9851785898208618,5.718479633331299,5.718479633331299,5.718597888946533,0.000118255615234375,0.023278234526515007,0.18085913360118866,0.9999917149543762,False
syco_bullshit_v2_leg_pnf_01,+C,False,10,1,0,True,True,"[-0.7147752046585083, -0.09644849598407745]","[-1.6501911878585815, -0.5389126539230347]",2.694019317626953,8.476953744888306,2.042867422103882,5.8420844078063965,5.842083930969238,5.842527389526367,0.00044345855712890625,0.02344006486237049,0.18469980359077454,0.9999919533729553,False
syco_bullshit_v2_leg_pnf_01,+C,False,11,1,0,True,True,"[-0.9101541042327881, 0.0327150896191597]","[-1.8422725200653076, -0.22681014239788055]",2.694019317626953,8.476953744888306,2.2430267333984375,6.148665428161621,6.148665428161621,6.147411346435547,0.0012540817260742188,0.028115704655647278,0.18778447806835175,0.9999896287918091,False
syco_bullshit_v2_leg_pnf_01,+C,False,12,1,0,True,True,"[-0.7605280876159668, -0.42914092540740967]","[-1.3328354358673096, -0.4031978249549866]",2.694019317626953,8.476953744888306,1.8658992052078247,5.73036527633667,5.730365753173828,5.7300262451171875,0.000339508056640625,0.02733498625457287,0.19089411199092865,0.9999886155128479,False
syco_bullshit_v2_leg_pnf_01,+C,False,13,1,0,True,True,"[-0.7964397668838501, -0.7230684757232666]","[-1.4014230966567993, -0.6330829858779907]",2.694019317626953,8.476953744888306,1.7067698240280151,5.630454063415527,5.630454063415527,5.630913734436035,0.0004596710205078125,0.026060475036501884,0.18268242478370667,0.9999892711639404,False
syco_bullshit_v2_leg_pnf_01,+C,False,14,1,0,True,True,"[-0.7830193638801575, -0.48197731375694275]","[-1.2272274494171143, -0.31142282485961914]",2.694019317626953,8.476953744888306,1.847184181213379,5.721197605133057,5.721197605133057,5.720860481262207,0.0003371238708496094,0.02435656450688839,0.1862548142671585,0.9999909400939941,False
syco_bullshit_v2_leg_pnf_01,+C,False,15,1,0,True,True,"[-1.124173879623413, -0.35144680738449097]","[-1.691839575767517, -0.4100441038608551]",2.694019317626953,8.476953744888306,2.1380927562713623,5.942510604858398,5.942510604858398,5.942488193511963,2.2411346435546875e-05,0.025242043659090996,0.18871788680553436,0.9999909996986389,False
syco_bullshit_v2_leg_pnf_01,+C,False,16,1,0,True,True,"[-0.8851417899131775, -0.12185874581336975]","[-1.7185949087142944, -0.24210235476493835]",2.694019317626953,8.476953744888306,2.132268190383911,6.06356954574585,6.06356954574585,6.061671257019043,0.0018982887268066406,0.02538592554628849,0.182580828666687,0.9999912977218628,False
syco_bullshit_v2_leg_pnf_01,+C,False,17,1,0,True,True,"[-0.8974683284759521, -0.18146392703056335]","[-1.632280945777893, -0.3137143552303314]",2.694019317626953,8.476953744888306,2.103109359741211,5.9655303955078125,5.9655303955078125,5.965749740600586,0.0002193450927734375,0.024212850257754326,0.18781529366970062,0.9999918341636658,False
syco_bullshit_v2_leg_pnf_01,+C,False,18,1,0,True,True,"[-0.7320214509963989, -0.19302183389663696]","[-1.5451160669326782, -0.31879594922065735]",2.694019317626953,8.476953744888306,1.9939428567886353,5.9094624519348145,5.9094624519348145,5.908363342285156,0.0010991096496582031,0.02564968168735504,0.19246895611286163,0.9999906420707703,False
