side	alpha	layer	eligible	changed	final_eligible	final_changed	total
+C	0.0	13	549	0	15	0	981
+C	0.0	14	146	0	15	0	981
+C	0.0	15	915	0	15	0	981
+C	0.0	16	954	0	15	0	981
+C	0.0	17	954	0	15	0	981
+C	0.0	18	214	0	15	0	981
+C	0.0	19	979	0	15	0	981
+C	0.0	20	980	0	15	0	981
+C	0.0	21	966	0	15	0	981
+C	0.25	13	549	549	15	15	981
+C	0.25	14	95	95	15	15	981
+C	0.25	15	914	914	15	15	981
+C	0.25	16	950	950	15	15	981
+C	0.25	17	907	907	15	15	981
+C	0.25	18	24	24	14	14	981
+C	0.25	19	979	979	15	15	981
+C	0.25	20	971	971	15	15	981
+C	0.25	21	965	965	15	15	981
+C	2.0	13	549	549	15	15	981
+C	2.0	14	0	0	0	0	981
+C	2.0	15	649	649	0	0	981
+C	2.0	16	322	322	0	0	981
+C	2.0	17	163	163	0	0	981
+C	2.0	18	0	0	0	0	981
+C	2.0	19	906	906	14	14	981
+C	2.0	20	114	114	1	1	981
+C	2.0	21	191	191	0	0	981
-C	0.0	13	432	0	0	0	981
-C	0.0	14	835	0	0	0	981
-C	0.0	15	66	0	0	0	981
-C	0.0	16	27	0	0	0	981
-C	0.0	17	27	0	0	0	981
-C	0.0	18	767	0	0	0	981
-C	0.0	19	2	0	0	0	981
-C	0.0	20	1	0	0	0	981
-C	0.0	21	15	0	0	0	981
-C	0.25	13	432	432	0	0	981
-C	0.25	14	835	835	0	0	981
-C	0.25	15	2	2	0	0	981
-C	0.25	16	1	1	0	0	981
-C	0.25	17	18	18	0	0	981
-C	0.25	18	667	667	0	0	981
-C	0.25	19	0	0	0	0	981
-C	0.25	20	0	0	0	0	981
-C	0.25	21	0	0	0	0	981
-C	2.0	13	432	432	0	0	981
-C	2.0	14	787	787	0	0	981
-C	2.0	15	0	0	0	0	981
-C	2.0	16	0	0	0	0	981
-C	2.0	17	0	0	0	0	981
-C	2.0	18	104	104	0	0	981
-C	2.0	19	0	0	0	0	981
-C	2.0	20	0	0	0	0	981
-C	2.0	21	0	0	0	0	981
