scenario,condition,layer,changed_positions,positions,final_changed,final_patch_norm,patch_norm_mean,target_gap,final_coordinates_before,final_coordinates_after,final_gap_error,max_coordinate_sum_error
syco_bullshit_v2_leg_pnf_01,old_plus,13,29,55,True,1.7176024913787842,0.3279513120651245,4.556610018014908,"[-0.6934910416603088, 1.0398935079574585]","[1.0406566858291626, -0.6923508644104004]",2.8236026763916016,0.0025299787521362305
syco_bullshit_v2_leg_pnf_01,old_plus,14,0,55,False,0.0,0.0,5.414298117160797,"[0.9644551277160645, -0.9744635224342346]","[0.9644551277160645, -0.9744635224342346]",3.475379467010498,0.0
syco_bullshit_v2_leg_pnf_01,old_plus,15,44,55,False,0.0,0.30593907833099365,6.172635734081268,"[0.10248738527297974, -0.5398507118225098]","[0.10248738527297974, -0.5398507118225098]",5.53029727935791,0.005737781524658203
syco_bullshit_v2_leg_pnf_01,old_plus,16,43,55,False,0.0,0.31298667192459106,7.123698949813843,"[-0.10509241372346878, -0.35996732115745544]","[-0.10509241372346878, -0.35996732115745544]",6.868824481964111,0.0047675371170043945
syco_bullshit_v2_leg_pnf_01,old_plus,17,18,55,False,0.0,0.06107116490602493,8.476953744888306,"[-0.2266121804714203, -0.5956802368164062]","[-0.2266121804714203, -0.5956802368164062]",8.107885360717773,0.006497621536254883
syco_bullshit_v2_leg_pnf_01,old_plus,18,0,55,False,0.0,0.0,9.429186582565308,"[-0.6221235394477844, -1.3646610975265503]","[-0.6221235394477844, -1.3646610975265503]",8.686649322509766,0.0
syco_bullshit_v2_leg_pnf_01,old_plus,19,52,55,True,1.7577635049819946,1.350672721862793,8.398379564285278,"[-2.17275071144104, -0.7881433963775635]","[-0.7897458076477051, -2.174020528793335]",7.014104843139648,0.009827375411987305
syco_bullshit_v2_leg_pnf_01,old_plus,20,11,55,False,0.0,0.05135183036327362,10.019581198692322,"[-0.9776405096054077, -1.5984506607055664]","[-0.9776405096054077, -1.5984506607055664]",9.398770332336426,0.005130290985107422
syco_bullshit_v2_leg_pnf_01,old_plus,21,34,55,True,0.1280805468559265,0.420470267534256,11.533475756645203,"[-1.1176347732543945, -1.0234887599945068]","[-1.0229065418243408, -1.1166876554489136]",11.43969440460205,0.004104495048522949
syco_bullshit_v2_leg_pnf_01,old_minus,13,26,55,False,0.0,0.1380309760570526,-4.69693386554718,"[-0.6934910416603088, 1.0398935079574585]","[-0.6934910416603088, 1.0398935079574585]",2.9635491371154785,0.0013741254806518555
syco_bullshit_v2_leg_pnf_01,old_minus,14,45,55,False,0.0,0.8866003751754761,-3.869912028312683,"[-0.5293869972229004, 0.5080312490463257]","[-0.5293869972229004, 0.5080312490463257]",2.832493782043457,0.0030215978622436523
syco_bullshit_v2_leg_pnf_01,old_minus,15,0,55,False,0.0,0.0,-6.436792850494385,"[-1.1596320867538452, 0.630387008190155]","[-1.1596320867538452, 0.630387008190155]",4.646773815155029,0.0
syco_bullshit_v2_leg_pnf_01,old_minus,16,0,55,False,0.0,0.0,-7.42580771446228,"[-1.2653619050979614, 0.8012871146202087]","[-1.2653619050979614, 0.8012871146202087]",5.359158992767334,0.0
syco_bullshit_v2_leg_pnf_01,old_minus,17,0,55,False,0.0,0.0,-7.5542134046554565,"[-1.2914574146270752, 0.6190602779388428]","[-1.2914574146270752, 0.6190602779388428]",5.643695831298828,0.0
syco_bullshit_v2_leg_pnf_01,old_minus,18,20,55,False,0.0,0.08769810199737549,-8.385780811309814,"[-1.7187408208847046, 0.19696582853794098]","[-1.7187408208847046, 0.19696582853794098]",6.470073699951172,0.002501964569091797
syco_bullshit_v2_leg_pnf_01,old_minus,19,0,55,False,0.0,0.0,-12.443769216537476,"[-3.2782058715820312, 0.8046367168426514]","[-3.2782058715820312, 0.8046367168426514]",8.360926628112793,0.0
syco_bullshit_v2_leg_pnf_01,old_minus,20,0,55,False,0.0,0.0,-12.97796106338501,"[-3.023512125015259, 1.2005008459091187]","[-3.023512125015259, 1.2005008459091187]",8.753948211669922,0.0
syco_bullshit_v2_leg_pnf_01,old_minus,21,0,55,False,0.0,0.0,-14.799622058868408,"[-2.938117742538452, 1.829512357711792]","[-2.938117742538452, 1.829512357711792]",10.031991958618164,0.0
syco_bullshit_v2_leg_pnf_01,gap_plus,13,55,55,True,3.1164987087249756,2.352713108062744,4.556610018014908,"[-0.6934910416603088, 1.0398935079574585]","[2.451296091079712, -2.1050922870635986]",0.00022172927856445312,0.003614068031311035
syco_bullshit_v2_leg_pnf_01,gap_plus,14,55,55,True,0.44826197624206543,0.25826844573020935,5.414298117160797,"[2.2645232677459717, -2.1937098503112793]","[2.74277400970459, -2.6701772212982178]",0.001346588134765625,0.003214716911315918
syco_bullshit_v2_leg_pnf_01,gap_plus,15,55,55,True,1.3832528591156006,2.142317056655884,6.172635734081268,"[1.735947608947754, -1.9123767614364624]","[2.9982261657714844, -3.174668550491333]",0.0002589225769042969,0.00580751895904541
syco_bullshit_v2_leg_pnf_01,gap_plus,16,55,55,True,0.769350528717041,1.5793395042419434,7.123698949813843,"[2.9404993057250977, -2.8799614906311035]","[3.5925345420837402, -3.5314724445343018]",0.00030803680419921875,0.005022168159484863
syco_bullshit_v2_leg_pnf_01,gap_plus,17,55,55,True,1.3201277256011963,1.9695708751678467,8.476953744888306,"[3.069324254989624, -3.2384400367736816]","[4.1527910232543945, -4.321948528289795]",0.0022144317626953125,0.0064733028411865234
syco_bullshit_v2_leg_pnf_01,gap_plus,18,55,55,True,0.19967339932918549,0.8574895262718201,9.429186582565308,"[4.1054463386535645, -5.009714126586914]","[4.262038707733154, -5.166718006134033]",0.00043010711669921875,0.004958391189575195
syco_bullshit_v2_leg_pnf_01,gap_plus,19,55,55,True,0.4616536796092987,1.5638015270233154,8.398379564285278,"[3.38521146774292, -4.286427021026611]","[3.749130964279175, -4.6489057540893555]",0.00034236907958984375,0.006679177284240723
syco_bullshit_v2_leg_pnf_01,gap_plus,20,55,55,True,1.0169965028762817,2.063551425933838,10.019581198692322,"[3.8617498874664307, -4.596189498901367]","[4.642902374267578, -5.378040313720703]",0.001361846923828125,0.003523588180541992
syco_bullshit_v2_leg_pnf_01,gap_plus,21,55,55,True,0.9052857756614685,2.073660135269165,11.533475756645203,"[4.909007549285889, -5.240950107574463]","[5.59995174407959, -5.9338812828063965]",0.0003566741943359375,0.0033528804779052734
syco_bullshit_v2_leg_pnf_01,gap_minus,13,55,55,True,1.467993974685669,2.2322685718536377,-4.69693386554718,"[-0.6934910416603088, 1.0398935079574585]","[-2.1737453937530518, 2.5222058296203613]",0.0009822845458984375,0.003373861312866211
syco_bullshit_v2_leg_pnf_01,gap_minus,14,55,55,True,0.13300353288650513,0.6072344779968262,-3.869912028312683,"[-1.7703503370285034, 1.8177510499954224]","[-1.9116146564483643, 1.9579256772994995]",0.0003719329833984375,0.004050850868225098
syco_bullshit_v2_leg_pnf_01,gap_minus,15,55,55,True,1.255905270576477,1.5331511497497559,-6.436792850494385,"[-2.3146848678588867, 1.8279297351837158]","[-3.4595580101013184, 2.9751367568969727]",0.00209808349609375,0.006231069564819336
syco_bullshit_v2_leg_pnf_01,gap_minus,16,55,55,True,0.745993435382843,1.1603670120239258,-7.42580771446228,"[-3.1734094619750977, 2.988490581512451]","[-3.805943727493286, 3.619877815246582]",1.33514404296875e-05,0.0053937435150146484
syco_bullshit_v2_leg_pnf_01,gap_minus,17,55,55,True,0.5426051020622253,1.0746400356292725,-7.5542134046554565,"[-3.3143975734710693, 3.3496575355529785]","[-3.7598958015441895, 3.794431686401367]",0.00011396408081054688,0.006131172180175781
syco_bullshit_v2_leg_pnf_01,gap_minus,18,55,55,True,0.2069639414548874,1.904866099357605,-8.385780811309814,"[-3.9868929386138916, 4.074270248413086]","[-4.149280071258545, 4.236596584320068]",9.632110595703125e-05,0.005735158920288086
syco_bullshit_v2_leg_pnf_01,gap_minus,19,55,55,True,0.8323410749435425,1.9874061346054077,-12.443769216537476,"[-5.914997100830078, 5.216555118560791]","[-6.567368507385254, 5.8745245933532715]",0.0018768310546875,0.007909059524536133
syco_bullshit_v2_leg_pnf_01,gap_minus,20,55,55,True,1.1183773279190063,1.5777987241744995,-12.97796106338501,"[-5.442038536071777, 5.816731929779053]","[-6.301352024078369, 6.676159858703613]",0.0004482269287109375,0.0060329437255859375
syco_bullshit_v2_leg_pnf_01,gap_minus,21,55,55,True,1.5005046129226685,1.9618488550186157,-14.799622058868408,"[-5.597217559814453, 6.915806770324707]","[-6.744924545288086, 8.062356948852539]",0.007659912109375,0.0037078857421875
syco_bullshit_v2_sw_pnf_02,old_plus,13,33,72,True,1.660973072052002,0.2592015862464905,4.556610018014908,"[-0.6330046653747559, 1.043391466140747]","[1.043705940246582, -0.6319979429244995]",2.880906105041504,0.0016048550605773926
syco_bullshit_v2_sw_pnf_02,old_plus,14,0,72,False,0.0,0.0,5.414298117160797,"[1.0144511461257935, -0.925234854221344]","[1.0144511461257935, -0.925234854221344]",3.47461199760437,0.0
syco_bullshit_v2_sw_pnf_02,old_plus,15,60,72,False,0.0,0.3575519025325775,6.172635734081268,"[0.009602990001440048, -0.39595910906791687]","[0.009602990001440048, -0.39595910906791687]",5.767073631286621,0.006468772888183594
syco_bullshit_v2_sw_pnf_02,old_plus,16,59,72,False,0.0,0.3389160633087158,7.123698949813843,"[-0.20431500673294067, -0.363630473613739]","[-0.20431500673294067, -0.363630473613739]",6.964383602142334,0.0050394535064697266
