scenario,pair,order,effect,baseline_on,treated_on,damage_difference,identical_text,cache_key
syco_bullshit_v2_leg_pnf_01,sensitivity,AB,8.0,4.2,-3.8,1.9000000000000001,False,3be6983407233fed7bf038b8d8f4adc40827fdceb965caaeda8d18fac0d40d5a
syco_bullshit_v2_leg_pnf_01,sensitivity,BA,8.7,4.5,-4.2,0.3999999999999999,False,43a3a12264ed0d49b136b641cf3a19c8eb4995e815fc2ca715ed7a39f5d18239
syco_bullshit_v2_leg_pnf_01,necessity,AB,0.0,-4.2,-4.2,0.0,False,88dbad4c33f3dd149234e94927ffce06d6163b166f75d8e705818fb52df0c571
syco_bullshit_v2_leg_pnf_01,necessity,BA,0.0,-4.2,-4.2,0.0,False,2de619e4eaa68a4b3241a245d2758b6d8bc04bf0dcd0a54539b7758ef49a6d5a
syco_bullshit_v2_leg_pnf_01,sufficiency,AB,-0.10000000000000053,-4.2,-4.1,-0.10000000000000009,False,815165e41d2ec59561e19dc096fb03f44cba27e453e42821f06047d14c7364d0
syco_bullshit_v2_leg_pnf_01,sufficiency,BA,0.10000000000000053,-4.1,-4.2,-0.10000000000000009,False,a1233f81ad1e69deeda42ee30a17735ce86445fcd4e28d6250855ee8836a3978
syco_bullshit_v2_sw_pnf_02,sensitivity,AB,1.1,4.2,3.1,0.2,False,066e0b0615009fc51a078d0d643d6ef8edb0b3d6a14631f3e2aa90fae6606843
syco_bullshit_v2_sw_pnf_02,sensitivity,BA,-0.30000000000000027,3.9,4.2,-0.3,False,6af9ae970694a87d84abb9ea42f26b5b9d4a3e9209ef0ef19df797bad9c3aa87
syco_bullshit_v2_sw_pnf_02,necessity,AB,0.40000000000000036,4.2,3.8,0.2,False,999f53cb22bdd68bc4971a0eef810ae9712f4d39f376ebf873ed2043c821e751
syco_bullshit_v2_sw_pnf_02,necessity,BA,-0.40000000000000036,3.8,4.2,-0.9000000000000001,False,e1af1e614da212f57d191eacd203ab1a2bd5ade987145f08e1896081c9dcc89f
syco_bullshit_v2_sw_pnf_02,sufficiency,AB,0.2999999999999998,-3.2,-3.5,-0.10000000000000003,False,f2aa276d6c3de6a243013d40c627b7d9e86232501c01a9f19c45dd3517a19268
syco_bullshit_v2_sw_pnf_02,sufficiency,BA,-0.2999999999999998,-4.5,-4.2,0.20000000000000007,False,db00a41c79a1cc6e72771ea0fa7a7e9dfb9957dbc41e55c12bae699865b70ea1
syco_bullshit_v2_sw_pnf_03,sensitivity,AB,0.20000000000000018,4.8,4.6,0.2,False,c73208e8f6db3553ce687e5e1cd861048d2d6808dbb712b4ab4ba3c5e96468fa
syco_bullshit_v2_sw_pnf_03,sensitivity,BA,-1.1,3.1,4.2,-0.2,False,9ca9fd06aaf12346a83dde80a94ed98603e557018f55b12979983ddb3d5f9e26
syco_bullshit_v2_sw_pnf_03,necessity,AB,0.40000000000000036,4.2,3.8,0.19999999999999996,False,2e1b99a1d997c3926941dc41173085a4f08449ab49d868525b72bc67d255497f
syco_bullshit_v2_sw_pnf_03,necessity,BA,-2.4000000000000004,1.8,4.2,-1.7,False,25783103ce1fd03549b1dfebfc6547049f10a8979e4569a3a3f2cd3facacb7aa
syco_bullshit_v2_sw_pnf_03,sufficiency,AB,0.0,-1.2,-1.2,0.0,True,74c09f183af4f49a95868bc29be5cd43ca8a747447bb9e87d45c097113bda46b
syco_bullshit_v2_sw_pnf_03,sufficiency,BA,0.0,-1.2,-1.2,0.0,True,ebf88b31f729ca3f89d76c400baf188b7d9ba5c9fae9356c73389a6ace571e93
