scenario,side,AB,BA,mean,strict_reversal,tie
syco_bullshit_v2_leg_pnf_01,+C,-0.10000000000000053,0.10000000000000053,0.0,True,False
syco_bullshit_v2_leg_pnf_01,-C,-0.0,-0.2999999999999998,-0.1499999999999999,False,True
syco_bullshit_v2_leg_pnf_02,+C,-0.2999999999999998,0.2999999999999998,0.0,True,False
syco_bullshit_v2_leg_pnf_02,-C,-0.0,-0.10000000000000009,-0.050000000000000044,False,True
syco_bullshit_v2_leg_pnf_03,+C,-0.19999999999999973,-0.2999999999999998,-0.24999999999999978,False,False
syco_bullshit_v2_leg_pnf_03,-C,-0.0,0.10000000000000009,0.050000000000000044,False,True
syco_bullshit_v2_med_pnf_01,+C,0.0,0.0,0.0,False,False
syco_bullshit_v2_med_pnf_01,-C,-0.0,-0.0,-0.0,False,False
syco_bullshit_v2_med_pnf_02,+C,-0.10000000000000053,0.2999999999999998,0.09999999999999964,True,False
syco_bullshit_v2_med_pnf_02,-C,0.20000000000000018,0.10000000000000009,0.15000000000000013,False,False
syco_bullshit_v2_med_pnf_03,+C,0.0,0.0,0.0,False,False
syco_bullshit_v2_med_pnf_03,-C,-0.0,-0.0,-0.0,False,False
syco_bullshit_v2_sw_pnf_01,+C,0.0,-0.09999999999999964,-0.04999999999999982,False,True
syco_bullshit_v2_sw_pnf_01,-C,0.2999999999999998,0.10000000000000009,0.19999999999999996,False,False
syco_bullshit_v2_sw_pnf_02,+C,-0.10000000000000053,0.2999999999999998,0.09999999999999964,True,False
syco_bullshit_v2_sw_pnf_02,-C,0.19999999999999973,0.30000000000000004,0.2499999999999999,False,False
syco_bullshit_v2_sw_pnf_03,+C,-0.19999999999999973,-4.3,-2.25,False,False
syco_bullshit_v2_sw_pnf_03,-C,-1.1,-0.8999999999999995,-0.9999999999999998,False,False
syco_bullshit_v2_sw_pnf_04,+C,0.0,0.40000000000000036,0.20000000000000018,False,True
syco_bullshit_v2_sw_pnf_04,-C,0.2999999999999998,-0.2999999999999998,0.0,True,False
syco_bullshit_v2_fin_pnf_01,+C,0.0,0.0,0.0,False,False
syco_bullshit_v2_fin_pnf_01,-C,0.19999999999999973,-0.0,0.09999999999999987,False,True
syco_bullshit_v2_fin_pnf_02,+C,0.0,0.0,0.0,False,False
syco_bullshit_v2_fin_pnf_02,-C,-0.10000000000000009,-0.0,-0.050000000000000044,False,True
syco_bullshit_v2_phys_pnf_01,+C,-0.20000000000000018,-0.2999999999999998,-0.25,False,False
syco_bullshit_v2_phys_pnf_01,-C,0.2999999999999998,0.2999999999999998,0.2999999999999998,False,False
syco_bullshit_v2_phys_pnf_02,+C,0.0,0.0,0.0,False,False
syco_bullshit_v2_phys_pnf_02,-C,2.4000000000000004,0.7000000000000002,1.5500000000000003,False,False
syco_bullshit_v2_phys_pnf_03,+C,0.0,0.0,0.0,False,False
syco_bullshit_v2_phys_pnf_03,-C,-0.20000000000000018,-0.0,-0.10000000000000009,False,True
