side	alpha	changed	kl	logit	eligible	positions	hidden	patch_med	patch_p95	ratio_med	coord_abs_med	coord_abs_p95	coord_rel_med	coord_rel_p95	patch_rel_med	patch_rel_p95	words	health
+C	0.0	0/15	0	0	0/8829	0–0	0.0000–0.0000	0	0	0	0	0	0	0	0	0	50.6	0/0/0
+C	0.25	11/15	0.018577	65.4056	4582/8829	299–674	0.1805–0.4986	0.0793542	0.238632	0.00618227	0.0012972	0.00773772	0.00879744	0.616223	0.225944	0.856699	51.6	0/0/0
+C	0.5	12/15	0.0378823	89.9313	3680/8829	193–645	0.1361–0.5488	0.127282	0.429778	0.00954813	0.00105203	0.00676084	0.00457422	0.469698	0.148903	0.795768	51.2	0/0/0
+C	0.75	12/15	0.0584924	110.198	2982/8829	143–645	0.1116–0.5763	0.177806	0.640168	0.0134666	0.00101973	0.00591108	0.00328065	0.301437	0.106603	0.701471	52.1333	0/0/0
+C	1.0	15/15	0.0813854	131.062	2505/8829	119–645	0.0957–0.5924	0.236511	0.857146	0.0180747	0.000960305	0.00535538	0.00246829	0.226432	0.0799045	0.640356	49.8	0/0/0
+C	1.25	14/15	0.117948	155.068	2241/8829	105–645	0.0884–0.6029	0.281384	1.10005	0.021713	0.00093043	0.00444847	0.00199788	0.214047	0.0672269	0.636425	53.4667	0/0/0
+C	1.5	15/15	0.156626	178.635	1996/8829	86–645	0.0729–0.6102	0.347077	1.36099	0.0264564	0.000910233	0.00422187	0.00162846	0.140584	0.054715	0.542066	50.5333	0/0/0
+C	2.0	15/15	0.280107	229.382	1715/8829	68–645	0.0614–0.6198	0.455766	1.94878	0.0369263	0.000968999	0.0037122	0.00120365	0.0807285	0.0401211	0.476885	49.5333	0/0/0
-C	0.0	0/15	0	0	0/8829	0–0	0.0000–0.0000	0	0	0	0	0	0	0	0	0	50.6	0/0/0
-C	0.25	7/15	0.00187013	22.4853	2409/8829	131–384	0.0670–0.2581	0.0643493	0.196531	0.00453242	0.0017809	0.00875324	0.0157997	0.713356	0.294063	0.891325	49.6667	0/0/0
-C	0.5	8/15	0.00304272	32.2877	2006/8829	96–342	0.0583–0.2773	0.110264	0.368118	0.00797322	0.00123966	0.00748021	0.00588765	0.538741	0.174138	0.823641	48.9333	0/0/0
-C	0.75	9/15	0.00499787	40.8734	1711/8829	72–336	0.0486–0.2944	0.157872	0.539894	0.0116226	0.00111932	0.00672666	0.00375468	0.463265	0.123872	0.791622	50.2667	0/0/0
-C	1.0	9/15	0.00672143	48.0083	1500/8829	58–336	0.0400–0.3042	0.214598	0.718215	0.0153264	0.00100129	0.00541943	0.00278081	0.223867	0.0942759	0.657508	49.3333	0/0/0
-C	1.25	8/15	0.00950671	55.4158	1368/8829	47–336	0.0347–0.3106	0.268967	0.905481	0.0193158	0.000985528	0.00507746	0.00224169	0.218605	0.0744128	0.639336	49.8	0/0/0
-C	1.5	9/15	0.0119324	62.1783	1283/8829	39–336	0.0324–0.3150	0.318963	1.08703	0.0228398	0.000967937	0.00450003	0.00177325	0.137689	0.0617993	0.545715	48.2	0/0/0
-C	2.0	10/15	0.0174368	76.1959	1168/8829	36–336	0.0294–0.3209	0.421373	1.44982	0.0305605	0.000902322	0.00404369	0.00134539	0.102552	0.0476304	0.518572	47.5333	0/0/0
c0_text_differences 0
