side	C	mean	median	n_pos	n_neg	mean_abs_steered_off	mean_abs_delta	min	max
+C	0.25	-0.3267	+0.0000	6	4	0.3933	0.1000	-6.3	+0.6
+C	0.5	-0.1000	+0.0000	4	6	0.3800	0.1667	-6.3	+8.7
+C	0.75	-0.1267	-0.1000	3	8	0.2733	0.1733	-6.3	+9.0
+C	1.0	-0.0667	-0.1000	5	8	0.3867	0.2600	-6.3	+9.0
+C	1.25	-0.2133	-0.1000	5	9	0.3533	0.2400	-6.3	+7.0
+C	1.5	-0.1867	-0.1000	6	8	0.3000	0.2267	-6.3	+7.0
+C	2.0	+0.3333	-0.1000	4	10	0.4600	0.1400	-0.9	+7.0
-C	0.25	+0.0600	-0.0000	3	0	1.1333	0.0333	-0.0	+0.3
-C	0.5	+0.0733	-0.0000	4	0	1.3733	0.0600	-0.0	+0.3
-C	0.75	+0.0667	-0.0000	4	0	1.2733	0.0333	-0.0	+0.3
-C	1.0	+0.0733	-0.0000	4	0	1.3000	0.0267	-0.0	+0.3
-C	1.25	+0.0733	-0.0000	4	0	1.4267	0.0400	-0.0	+0.3
-C	1.5	+0.0733	-0.0000	4	0	1.3800	0.0267	-0.0	+0.3
-C	2.0	+0.0733	-0.0000	5	1	1.3667	0.0600	-0.3	+0.3
