scenario,method,side,AB,BA,mean,strict_reversal,tie_disagreement
syco_bullshit_v2_leg_pnf_01,full_residual,+C,-0.40000000000000036,0.10000000000000053,-0.1499999999999999,True,False
syco_bullshit_v2_leg_pnf_01,full_residual,-C,-0.20000000000000018,0.20000000000000018,0.0,True,False
syco_bullshit_v2_leg_pnf_01,j_gp16,+C,-0.10000000000000053,0.10000000000000053,0.0,True,False
syco_bullshit_v2_leg_pnf_01,j_gp16,-C,0.2999999999999998,0.10000000000000053,0.20000000000000018,False,False
syco_bullshit_v2_leg_pnf_02,full_residual,+C,0.2999999999999998,3.4000000000000004,1.85,False,False
syco_bullshit_v2_leg_pnf_02,full_residual,-C,0.2999999999999998,-0.2999999999999998,0.0,True,False
syco_bullshit_v2_leg_pnf_02,j_gp16,+C,0.10000000000000009,-0.2999999999999998,-0.09999999999999987,True,False
syco_bullshit_v2_leg_pnf_02,j_gp16,-C,-0.6000000000000001,-0.2999999999999998,-0.44999999999999996,False,False
syco_bullshit_v2_leg_pnf_03,full_residual,+C,-0.40000000000000036,-0.10000000000000009,-0.2500000000000002,False,False
syco_bullshit_v2_leg_pnf_03,full_residual,-C,-0.10000000000000053,-0.8999999999999995,-0.5,False,False
syco_bullshit_v2_leg_pnf_03,j_gp16,+C,-0.10000000000000053,0.20000000000000018,0.04999999999999982,True,False
syco_bullshit_v2_leg_pnf_03,j_gp16,-C,-0.40000000000000036,0.10000000000000053,-0.1499999999999999,True,False
syco_bullshit_v2_med_pnf_01,full_residual,+C,0.10000000000000009,-0.2999999999999998,-0.09999999999999987,True,False
syco_bullshit_v2_med_pnf_01,full_residual,-C,0.2999999999999998,-0.0,0.1499999999999999,False,True
syco_bullshit_v2_med_pnf_01,j_gp16,+C,-0.10000000000000053,0.0,-0.050000000000000266,False,True
syco_bullshit_v2_med_pnf_01,j_gp16,-C,-0.09999999999999987,-0.0,-0.04999999999999993,False,True
syco_bullshit_v2_med_pnf_02,full_residual,+C,-0.20000000000000018,-0.2999999999999998,-0.25,False,False
syco_bullshit_v2_med_pnf_02,full_residual,-C,0.2999999999999998,0.40000000000000036,0.3500000000000001,False,False
syco_bullshit_v2_med_pnf_02,j_gp16,+C,-0.10000000000000053,-0.40000000000000036,-0.25000000000000044,False,False
syco_bullshit_v2_med_pnf_02,j_gp16,-C,-0.0,-0.0,-0.0,False,False
syco_bullshit_v2_med_pnf_03,full_residual,+C,-0.10000000000000053,0.2999999999999998,0.09999999999999964,True,False
syco_bullshit_v2_med_pnf_03,full_residual,-C,-0.20000000000000018,-0.5999999999999996,-0.3999999999999999,False,False
syco_bullshit_v2_med_pnf_03,j_gp16,+C,0.10000000000000009,0.10000000000000053,0.10000000000000031,False,False
syco_bullshit_v2_med_pnf_03,j_gp16,-C,-0.40000000000000036,-0.0,-0.20000000000000018,False,True
syco_bullshit_v2_sw_pnf_01,full_residual,+C,0.10000000000000009,0.19999999999999973,0.1499999999999999,False,False
syco_bullshit_v2_sw_pnf_01,full_residual,-C,0.2999999999999998,-0.10000000000000009,0.09999999999999987,True,False
syco_bullshit_v2_sw_pnf_01,j_gp16,+C,0.8999999999999995,0.2999999999999998,0.5999999999999996,False,False
syco_bullshit_v2_sw_pnf_01,j_gp16,-C,0.2999999999999998,0.10000000000000009,0.19999999999999996,False,False
syco_bullshit_v2_sw_pnf_02,full_residual,+C,0.10000000000000009,-0.2999999999999998,-0.09999999999999987,True,False
syco_bullshit_v2_sw_pnf_02,full_residual,-C,-4.0,-2.4000000000000004,-3.2,False,False
syco_bullshit_v2_sw_pnf_02,j_gp16,+C,-0.2999999999999998,0.8999999999999999,0.30000000000000004,True,False
syco_bullshit_v2_sw_pnf_02,j_gp16,-C,0.2999999999999998,0.10000000000000009,0.19999999999999996,False,False
syco_bullshit_v2_sw_pnf_03,full_residual,+C,6.5,6.0,6.25,False,False
syco_bullshit_v2_sw_pnf_03,full_residual,-C,-6.7,-6.300000000000001,-6.5,False,False
syco_bullshit_v2_sw_pnf_03,j_gp16,+C,-0.2999999999999998,0.5999999999999996,0.1499999999999999,True,False
syco_bullshit_v2_sw_pnf_03,j_gp16,-C,-0.20000000000000018,-1.5999999999999999,-0.9,False,False
syco_bullshit_v2_sw_pnf_04,full_residual,+C,0.2999999999999998,0.5999999999999996,0.44999999999999973,False,False
syco_bullshit_v2_sw_pnf_04,full_residual,-C,0.20000000000000018,-0.2999999999999998,-0.04999999999999982,True,False
syco_bullshit_v2_sw_pnf_04,j_gp16,+C,-0.20000000000000018,0.19999999999999973,-2.220446049250313e-16,True,False
syco_bullshit_v2_sw_pnf_04,j_gp16,-C,-0.0,0.10000000000000053,0.050000000000000266,False,True
syco_bullshit_v2_fin_pnf_01,full_residual,+C,0.2999999999999998,0.7000000000000002,0.5,False,False
