scenario,side,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,gp_coordinates_before,full_coordinates_before,gp_target,full_target,gp_nominal_norm,reference_realized_norm,desired_norm,actual_norm,norm_error,rounding_error_norm,rounding_bound,direction_cosine,zero_reference
syco_bullshit_v2_leg_pnf_01,+C,False,0,55,54,True,True,"[0.3395887315273285, -0.1784537434577942]","[-1.0510940551757812, 0.2816615402698517]",5.802844047546387,8.476953744888306,2.5711233615875244,5.97509765625,5.97509765625,5.972701549530029,0.002396106719970703,0.02349361591041088,0.17890076339244843,0.9999923706054688,False
syco_bullshit_v2_leg_pnf_01,+C,False,1,1,0,True,True,"[0.32206615805625916, -0.26422369480133057]","[-1.351455569267273, -0.4318118095397949]",5.802844047546387,8.476953744888306,2.5379199981689453,5.724745750427246,5.724746227264404,5.725761890411377,0.0010156631469726562,0.023575516417622566,0.17100386321544647,0.9999915361404419,False
syco_bullshit_v2_leg_pnf_01,+C,False,2,1,0,True,True,"[0.4114285707473755, 0.15651682019233704]","[-0.6737901568412781, -0.44049352407455444]",5.802844047546387,8.476953744888306,2.6991398334503174,5.305008411407471,5.305008411407471,5.306180000305176,0.0011715888977050781,0.024200519546866417,0.18204490840435028,0.9999895691871643,False
syco_bullshit_v2_leg_pnf_01,+C,False,3,1,0,True,True,"[0.4195210337638855, -0.2977733016014099]","[-1.0608139038085938, -0.2812788486480713]",5.802844047546387,8.476953744888306,2.47418475151062,5.639260292053223,5.639260292053223,5.640814781188965,0.0015544891357421875,0.026652859523892403,0.17791055142879486,0.9999889731407166,False
syco_bullshit_v2_leg_pnf_01,+C,False,4,1,0,True,True,"[0.3620985746383667, -0.033633626997470856]","[-1.0558562278747559, -0.6847997903823853]",5.802844047546387,8.476953744888306,2.630628824234009,5.38878059387207,5.38878059387207,5.389316082000732,0.0005354881286621094,0.024764930829405785,0.17100626230239868,0.9999894499778748,False
syco_bullshit_v2_leg_pnf_01,+C,False,5,1,0,True,True,"[0.5265249013900757, -0.31485915184020996]","[-0.7552437782287598, -0.15358737111091614]",5.802844047546387,8.476953744888306,2.413813591003418,5.530055046081543,5.530055046081543,5.53178071975708,0.0017256736755371094,0.028475292026996613,0.18250535428524017,0.9999867677688599,False
syco_bullshit_v2_leg_pnf_01,+C,False,6,1,0,True,True,"[0.3479410409927368, 0.12598580121994019]","[-0.4547405242919922, -0.021166667342185974]",5.802844047546387,8.476953744888306,2.7151734828948975,5.428535461425781,5.428535461425781,5.4306817054748535,0.0021462440490722656,0.024878818541765213,0.18628336489200592,0.9999896287918091,False
syco_bullshit_v2_leg_pnf_01,+C,False,7,1,0,True,True,"[0.6989717483520508, -0.01926097273826599]","[-0.9576268792152405, -0.4217296838760376]",5.802844047546387,8.476953744888306,2.4737281799316406,5.491524696350098,5.491525173187256,5.492452144622803,0.000926971435546875,0.02670913003385067,0.18798574805259705,0.999988317489624,False
syco_bullshit_v2_leg_pnf_01,+C,False,8,1,0,True,True,"[0.5608283877372742, -0.31183409690856934]","[-1.0941094160079956, -0.5385040044784546]",5.802844047546387,8.476953744888306,2.3985960483551025,5.501455307006836,5.501455783843994,5.5004143714904785,0.001041412353515625,0.025126691907644272,0.18232937157154083,0.9999896287918091,False
syco_bullshit_v2_leg_pnf_01,+C,False,9,1,0,True,True,"[0.1107238307595253, -0.25322219729423523]","[-0.5360051989555359, -0.22126765549182892]",5.802844047546387,8.476953744888306,2.6460933685302734,5.355288505554199,5.355288505554199,5.354963302612305,0.00032520294189453125,0.02413272298872471,0.18209297955036163,0.9999898076057434,False
syco_bullshit_v2_leg_pnf_01,+C,False,10,1,0,True,True,"[0.13290204107761383, 0.030377333983778954]","[-1.0727721452713013, -0.353509783744812]",5.802844047546387,8.476953744888306,2.773277997970581,5.6003522872924805,5.6003522872924805,5.600993633270264,0.0006413459777832031,0.025753295049071312,0.17787934839725494,0.9999895095825195,False
syco_bullshit_v2_leg_pnf_01,+C,False,11,1,0,True,True,"[-0.16373321413993835, -0.11092334985733032]","[-1.0623010396957397, -0.3129580318927765]",5.802844047546387,8.476953744888306,2.8488502502441406,5.618525981903076,5.618525981903076,5.618556499481201,3.0517578125e-05,0.025937451049685478,0.17710824310779572,0.9999893307685852,False
syco_bullshit_v2_leg_pnf_01,+C,False,12,1,0,True,True,"[-0.18530166149139404, -0.126817986369133]","[-1.383370041847229, -0.3440721035003662]",5.802844047546387,8.476953744888306,2.8516106605529785,5.796764373779297,5.796764373779297,5.796987533569336,0.0002231597900390625,0.02528962306678295,0.17846934497356415,0.9999905228614807,False
syco_bullshit_v2_leg_pnf_01,+C,False,13,1,0,True,True,"[0.36829614639282227, -0.25139692425727844]","[-0.9290181398391724, -0.6167627573013306]",5.802844047546387,8.476953744888306,2.5216691493988037,5.352205753326416,5.352205753326416,5.354382038116455,0.0021762847900390625,0.027871571481227875,0.18055905401706696,0.9999865889549255,False
syco_bullshit_v2_leg_pnf_01,+C,False,14,1,0,True,True,"[0.1675310730934143, -0.15160584449768066]","[-1.2713173627853394, -0.5349069237709045]",5.802844047546387,8.476953744888306,2.667893409729004,5.613524913787842,5.613524913787842,5.613875389099121,0.0003504753112792969,0.027644367888569832,0.18671055138111115,0.9999879002571106,False
syco_bullshit_v2_leg_pnf_01,+C,False,15,1,0,True,True,"[0.48138517141342163, -0.43219467997550964]","[-0.9884902834892273, -0.5009699463844299]",5.802844047546387,8.476953744888306,2.3786892890930176,5.462101459503174,5.462101459503174,5.463301658630371,0.0012001991271972656,0.026125900447368622,0.1777220219373703,0.9999885559082031,False
syco_bullshit_v2_leg_pnf_01,+C,False,16,1,0,True,True,"[0.6575899720191956, -0.5649644732475281]","[-0.6880166530609131, -0.5266934633255005]",5.802844047546387,8.476953744888306,2.2283694744110107,5.2627363204956055,5.2627363204956055,5.26315975189209,0.000423431396484375,0.027354860678315163,0.17897243797779083,0.9999865293502808,False
syco_bullshit_v2_leg_pnf_01,+C,False,17,1,0,True,True,"[0.8602861762046814, -0.5203139185905457]","[-0.9558093547821045, -0.2975594997406006]",5.802844047546387,8.476953744888306,2.1514782905578613,5.565431118011475,5.565430641174316,5.567022323608398,0.0015916824340820312,0.026923559606075287,0.17526356875896454,0.9999882578849792,False
syco_bullshit_v2_leg_pnf_01,+C,False,18,1,0,True,True,"[0.13947635889053345, -0.03409295529127121]","[-1.2955743074417114, -0.7222763895988464]",5.802844047546387,8.476953744888306,2.7387139797210693,5.514689922332764,5.514689922332764,5.515929698944092,0.001239776611328125,0.024956436827778816,0.17706741392612457,0.9999898076057434,False
syco_bullshit_v2_leg_pnf_01,+C,False,19,1,0,True,True,"[0.4354116916656494, -0.11560210585594177]","[-0.9923332929611206, -0.6488836407661438]",5.802844047546387,8.476953744888306,2.555082321166992,5.372548580169678,5.372548580169678,5.374538421630859,0.0019898414611816406,0.030988892540335655,0.18547423183918,0.9999833703041077,False
syco_bullshit_v2_leg_pnf_01,+C,False,20,1,0,True,True,"[0.849731981754303, -0.018375292420387268]","[-0.8002122044563293, -0.6358374357223511]",5.802844047546387,8.476953744888306,2.4008123874664307,5.26491117477417,5.26491117477417,5.266143321990967,0.001232147216796875,0.02811843529343605,0.18575163185596466,0.9999858140945435,False
syco_bullshit_v2_leg_pnf_01,+C,False,21,1,0,True,True,"[0.7954589128494263, -0.0317414253950119]","[-1.0772205591201782, -0.740691602230072]",5.802844047546387,8.476953744888306,2.4207141399383545,5.366799354553223,5.3667988777160645,5.365306854248047,0.0014920234680175781,0.026436761021614075,0.18323951959609985,0.9999878406524658,False
syco_bullshit_v2_leg_pnf_01,+C,False,22,1,0,True,True,"[0.9426087141036987, -0.23484912514686584]","[-0.7830058336257935, -0.7011747360229492]",5.802844047546387,8.476953744888306,2.250309467315674,5.214225769042969,5.214225769042969,5.213334560394287,0.0008912086486816406,0.028155313804745674,0.17925339937210083,0.9999853372573853,False
syco_bullshit_v2_leg_pnf_01,+C,False,23,1,0,True,True,"[0.1772792488336563, -0.040269672870635986]","[-1.0659221410751343, -0.3194103538990021]",5.802844047546387,8.476953744888306,2.7173173427581787,5.617455005645752,5.617455005645752,5.617138385772705,0.000316619873046875,0.027472050860524178,0.18312498927116394,0.9999880194664001,False
syco_bullshit_v2_leg_pnf_01,+C,False,24,1,0,True,True,"[0.5297231078147888, -0.2360827624797821]","[-1.4007238149642944, -0.4312587380409241]",5.802844047546387,8.476953744888306,2.4505832195281982,5.754842758178711,5.754843235015869,5.752265930175781,0.0025773048400878906,0.027259431779384613,0.18463172018527985,0.9999889135360718,False
syco_bullshit_v2_leg_pnf_01,+C,False,25,1,0,True,True,"[0.40970084071159363, 0.050672497600317]","[-1.5839574337005615, -0.36204174160957336]",5.802844047546387,8.476953744888306,2.6484856605529785,5.908041000366211,5.908041477203369,5.907402992248535,0.0006384849548339844,0.0251314714550972,0.17906785011291504,0.9999909400939941,False
