scenario,condition,call,sequence_length,position_in_forward,coordinates_before,coordinates_after,target_gap,target_gap_error,all_position_patch_norms,next_block_input_exact,absolute_position,input_token_id,predicted_token_id,counterfactual_source_norm,random_actual_norm,rounding_error_norm,rounding_error_bound,actual_span_coordinates,actual_direction_cosine
syco_bullshit_v2_leg_pnf_01,random_identity_minus,0,55,54,"[-1.0510940551757812, 0.2816615402698517]","[-1.0510940551757812, 0.2816615402698517]",-7.5542134046554565,6.2214579582214355,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,54,271,760,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,1,1,0,"[-1.351455569267273, -0.4318118095397949]","[-1.351455569267273, -0.4318118095397949]",-7.5542134046554565,6.6345696449279785,[0.0],True,55,760,62966,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,2,1,0,"[-0.6737901568412781, -0.44049352407455444]","[-0.6737901568412781, -0.44049352407455444]",-7.5542134046554565,7.320917129516602,[0.0],True,56,62966,1220,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,3,1,0,"[-1.0608139038085938, -0.2812788486480713]","[-1.0608139038085938, -0.2812788486480713]",-7.5542134046554565,6.7746782302856445,[0.0],True,57,1220,40729,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,4,1,0,"[-0.733013927936554, -0.1674043983221054]","[-0.733013927936554, -0.1674043983221054]",-7.5542134046554565,6.9886040687561035,[0.0],True,58,40729,85945,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,5,1,0,"[-1.1214791536331177, -0.06489824503660202]","[-1.1214791536331177, -0.06489824503660202]",-7.5542134046554565,6.4976325035095215,[0.0],True,59,85945,477,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,6,1,0,"[-1.421255111694336, -0.1420598328113556]","[-1.421255111694336, -0.1420598328113556]",-7.5542134046554565,6.275018215179443,[0.0],True,60,477,28201,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,7,1,0,"[-1.419653058052063, -0.4289746880531311]","[-1.419653058052063, -0.4289746880531311]",-7.5542134046554565,6.563535213470459,[0.0],True,61,28201,539,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,8,1,0,"[-1.1295334100723267, -0.5345595479011536]","[-1.1295334100723267, -0.5345595479011536]",-7.5542134046554565,6.959239482879639,[0.0],True,62,539,3050,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,9,1,0,"[-1.0663096904754639, -0.2584916651248932]","[-1.0663096904754639, -0.2584916651248932]",-7.5542134046554565,6.746395587921143,[0.0],True,63,3050,6577,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,10,1,0,"[-0.8668653964996338, -0.3490222692489624]","[-0.8668653964996338, -0.3490222692489624]",-7.5542134046554565,7.036370277404785,[0.0],True,64,6577,9052,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,11,1,0,"[-1.3824355602264404, -0.6121443510055542]","[-1.3824355602264404, -0.6121443510055542]",-7.5542134046554565,6.78392219543457,[0.0],True,65,9052,523,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,12,1,0,"[-1.3590492010116577, -0.5213941335678101]","[-1.3590492010116577, -0.5213941335678101]",-7.5542134046554565,6.716558456420898,[0.0],True,66,523,321,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,13,1,0,"[-1.5912379026412964, -0.5344302654266357]","[-1.5912379026412964, -0.5344302654266357]",-7.5542134046554565,6.497406005859375,[0.0],True,67,321,27095,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,14,1,0,"[-1.2398875951766968, -0.4769195020198822]","[-1.2398875951766968, -0.4769195020198822]",-7.5542134046554565,6.791245460510254,[0.0],True,68,27095,310,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,15,1,0,"[-1.2812142372131348, -0.6874326467514038]","[-1.2812142372131348, -0.6874326467514038]",-7.5542134046554565,6.960432052612305,[0.0],True,69,310,28299,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,16,1,0,"[-1.423140287399292, -0.4720389246940613]","[-1.423140287399292, -0.4720389246940613]",-7.5542134046554565,6.60311222076416,[0.0],True,70,28299,8443,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,17,1,0,"[-1.7981436252593994, -0.46581554412841797]","[-1.7981436252593994, -0.46581554412841797]",-7.5542134046554565,6.221885681152344,[0.0],True,71,8443,279,,,,,,
syco_bullshit_v2_leg_pnf_01,random_identity_minus,18,1,0,"[-1.645918846130371, -0.29252007603645325]","[-1.645918846130371, -0.29252007603645325]",-7.5542134046554565,6.200814723968506,[0.0],True,72,279,2100,,,,,,
