scenario,condition,call,sequence_length,position_in_forward,coordinates_before,coordinates_after,target_gap,target_gap_error,all_position_patch_norms,next_block_input_exact,absolute_position,input_token_id,predicted_token_id
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,0,55,54,"[-1.0510940551757812, 0.2816615402698517]","[-1.0510940551757812, 0.2816615402698517]",-7.5542134046554565,6.2214579582214355,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,54,271,760
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,1,1,0,"[-1.351455569267273, -0.4318118095397949]","[-1.351455569267273, -0.4318118095397949]",-7.5542134046554565,6.6345696449279785,[0.0],True,55,760,62966
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,2,1,0,"[-0.6737901568412781, -0.44049352407455444]","[-0.6737901568412781, -0.44049352407455444]",-7.5542134046554565,7.320917129516602,[0.0],True,56,62966,1220
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,3,1,0,"[-1.0608139038085938, -0.2812788486480713]","[-1.0608139038085938, -0.2812788486480713]",-7.5542134046554565,6.7746782302856445,[0.0],True,57,1220,40729
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,4,1,0,"[-0.733013927936554, -0.1674043983221054]","[-0.733013927936554, -0.1674043983221054]",-7.5542134046554565,6.9886040687561035,[0.0],True,58,40729,85945
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,5,1,0,"[-1.1214791536331177, -0.06489824503660202]","[-1.1214791536331177, -0.06489824503660202]",-7.5542134046554565,6.4976325035095215,[0.0],True,59,85945,477
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,6,1,0,"[-1.421255111694336, -0.1420598328113556]","[-1.421255111694336, -0.1420598328113556]",-7.5542134046554565,6.275018215179443,[0.0],True,60,477,28201
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,7,1,0,"[-1.419653058052063, -0.4289746880531311]","[-1.419653058052063, -0.4289746880531311]",-7.5542134046554565,6.563535213470459,[0.0],True,61,28201,539
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,8,1,0,"[-1.1295334100723267, -0.5345595479011536]","[-1.1295334100723267, -0.5345595479011536]",-7.5542134046554565,6.959239482879639,[0.0],True,62,539,3050
syco_bullshit_v2_leg_pnf_01,persistent_identity_minus,9,1,0,"[-1.0663096904754639, -0.2584916651248932]","[-1.0663096904754639, -0.2584916651248932]",-7.5542134046554565,6.746395587921143,[0.0],True,63,3050,6577
